name,height_cm,weight_kg,bra,bust_in,waist_in,hips_in
Christi Lake,175,55,34C,37,24,34
Christie Lee,152,49,34B,36,24,35
Christie Stevens,158,52,35D,39,26,34
Christina Aguchi,163,59,36D,40,27,38
Christina Jolie,178,62,34D,38,29,38
Christina Lee,157,50,34B,36,24,37
Christina Moure,157,53,34B,36,24,36
Christina Shine,157,52,34D,38,24,35
Christina Shmidt,165,60,34D,38,24,36
Christina Skye,178,59,34DD,39,28,32
Christine Alexis,165,48,34B,36,24,35
Christine Roberts,155,55,34C,37,22,34
Christine Young,157,48,34C,37,23,33
Christy Canyon,170,56,36DD,41,24,36
Christy Charming,168,49,30C,33,24,32
Christy Love,165,52,32A,33,24,32
Christy Lynn,172,50,32A,33,23,34
Christy Mack,154,48,34D,38,22,36
Christy Marks,162,61,36HH,48,28,36
Chyanne Jacobs,165,59,34C,37,26,38
Ciara Blue,152,51,36DD,41,24,34
Cici Amor,157,45,32B,34,24,31
Ciera Sage,173,58,34C,37,26,34
Cikita,167,50,34DD,39,25,35
Cindy Behr,165,52,34DDD,40,25,33
Cindy Crawford,163,43,33C,36,25,33
Cindy Dee,162,49,34B,36,25,35
Cindy Dollar,160,56,34D,38,25,35
Cindy Hope,168,50,32C,35,23,34
Cindy Jays,155,45,34B,36,24,34
Cindy Loo,165,49,33B,35,24,35
Cindy Shine,169,49,32A,33,24,36
Cindy Starfall,154,43,32A,33,24,34
Cindy Sun,165,48,30G,39,26,32
Cinthia Santos,170,54,34C,37,26,38
Cipriana Maxima,170,50,32B,34,24,36
Claire Adams,168,57,34B,36,26,36
Claire Black,157,43,32D,36,24,32
Claire Castel,166,49,34C,37,24,36
Claire Dames,163,61,34F,41,26,36
Claire Heart,160,50,34B,36,26,34
Claire Robbins,160,57,34A,35,25,35
Clara G.,170,48,33C,36,23,33
Claudia Adams,165,46,34C,37,23,35
Claudia Adkins,160,45,34B,36,23,32
Claudia Bavel,162,57,34C,37,25,35
Claudia Bomb,165,52,34DD,39,24,34
Claudia Downs,170,61,36C,39,27,36
Claudia Kealoha,168,54,36DD,41,26,36
Claudia Mac,170,50,32B,34,23,33
Claudia Rossi,165,50,34B,36,25,35
Claudia Valentine,167,55,34D,38,27,33
Clea Gaultier,165,49,35B,37,23,35
Cleo Clementine,153,55,32A,33,25,35
Cleo Summers,172,61,32E,38,26,34
Cleo Vixen,154,45,32A,33,24,36
Cleopatra Rios,160,49,33B,35,24,35
Coco De Mal,170,53,34B,36,25,38
Coco Kiss,172,56,35A,36,23,35
Coco Vandi,175,66,36DDD,42,24,38
Coco Velvet,172,56,32A,33,24,34
Codi Carmichael,165,54,34D,38,25,36
Cody Lane,163,52,36C,39,25,35
Cody Love,170,55,34C,37,24,34
Coffee Brown,170,59,36B,38,24,36
Colette W,166,52,40C,43,25,35
Connie Carter,173,55,36D,40,27,38
Constance Devil,163,61,38F,45,33,40
Cora Carina,170,55,32A,33,24,34
Coral Sands,173,59,34C,37,26,36
Coralee Summers,157,48,32A,33,24,28
Corazon Del Angel,170,60,34B,36,25,36
Corinna Blake,160,51,34E,40,24,34
Cory Baby,157,45,32A,33,23,33
Cory Chase,165,49,34C,37,25,33
Cory Everson,160,50,34DD,39,27,37
Cosima Dunkin,175,57,34B,36,31,34
Courtney Cummz,170,56,34D,38,29,36
Courtney James,157,56,33B,35,26,34
Courtney Shea,171,61,36C,39,25,36
Courtney Simpson,157,45,34A,35,24,34
Courtney Taylor,175,60,34E,40,24,36
Cris Taliana,155,50,32B,34,24,34
Crissy Cums,168,57,32C,35,26,34
Crissy Moon,165,57,32B,34,27,37
Crissy Moran,154,45,34D,38,23,35
Crista Moore,155,50,34D,38,25,34
Cristal Cherry,167,53,34C,37,24,35
Cristal Cortez,154,57,34C,37,26,34
Cristi Ann,157,57,34D,38,27,38
Cristina Agave,157,52,34A,35,28,36
Cristina Miller,157,50,36DD,41,23,35
Crystal Clark,162,55,32C,35,24,36
Crystal Clear,163,52,34B,36,27,34
Crystal Greenvelle,160,50,32D,36,24,32
Crystal Jewels,166,60,36C,39,28,34
Crystal Lopez,162,50,34C,37,27,32
Crystal Maiden,172,53,35B,37,26,35
Crystal Raye,170,51,32B,34,24,32
Crystal Rush,160,45,34C,37,24,36
Crystal Young,155,48,34D,38,28,36
Curvy Claire,160,75,32HH,44,34,38
Cute Cristina,165,48,31B,33,25,32
Cynthia Flowers,170,62,36G,45,29,36
Cynthia Vellons,165,47,34D,38,26,36
Cyprus Isles,170,50,32B,34,23,34
Cyrstal Rae,154,50,34D,38,26,32
